"participant","condition","block","trial_n","rt","accuracy"
559,1,2,20,971,0
559,1,2,21,847,0
559,1,2,22,705,1
559,1,2,23,433,1
559,1,2,24,531,1
559,1,2,25,473,1
559,1,2,26,514,1
559,1,2,27,425,1
559,1,2,28,708,1
559,1,2,29,444,1
559,1,2,30,630,1
559,1,2,31,720,1
559,1,2,32,1152,0
559,1,2,33,461,1
559,1,2,34,646,1
559,1,2,35,1112,0
559,1,2,36,664,1
559,1,2,37,481,1
559,1,2,38,698,0
559,1,2,39,721,0
559,1,2,40,152,0
554,2,1,1,736,1
554,2,1,2,637,1
554,2,1,3,574,1
554,2,1,4,539,1
554,2,1,5,664,1
554,2,1,6,584,1
554,2,1,7,516,1
554,2,1,8,522,1
554,2,1,9,552,1
554,2,1,10,749,1
554,2,1,11,562,1
554,2,1,12,750,1
554,2,1,13,443,1
554,2,1,14,564,1
554,2,1,15,697,1
554,2,1,16,576,1
554,2,1,17,636,1
554,2,1,18,1365,1
554,2,1,19,673,1
554,2,1,20,1049,1
554,2,1,21,770,1
554,2,1,22,742,1
554,2,1,23,747,1
554,2,1,24,728,1
554,2,1,25,870,1
554,2,1,26,733,1
554,2,1,27,531,1
554,2,1,28,665,1
554,2,1,29,593,1
554,2,1,30,724,1
554,2,1,31,674,1
554,2,1,32,650,1
554,2,1,33,539,1
554,2,1,34,464,1
554,2,1,35,608,1
554,2,1,36,739,1
554,2,1,37,544,1
554,2,1,38,638,1
554,2,1,39,575,1
554,2,1,40,619,1
554,2,2,1,871,1
554,2,2,2,751,1
554,2,2,3,683,1
554,2,2,4,674,1
554,2,2,5,794,1
554,2,2,6,1589,1
554,2,2,7,1000,1
554,2,2,8,691,1
554,2,2,9,714,1
554,2,2,10,1032,1
554,2,2,11,834,1
554,2,2,12,803,1
554,2,2,13,1069,1
554,2,2,14,893,1
554,2,2,15,715,1
554,2,2,16,1290,1
554,2,2,17,673,1
554,2,2,18,841,1
554,2,2,19,1306,1
554,2,2,20,688,1
554,2,2,21,647,1
554,2,2,22,768,1
554,2,2,23,820,1
554,2,2,24,702,1
554,2,2,25,828,1
554,2,2,26,582,1
554,2,2,27,618,1
554,2,2,28,812,1
554,2,2,29,486,1
554,2,2,30,605,1
554,2,2,31,792,1
554,2,2,32,659,1
554,2,2,33,828,1
554,2,2,34,629,1
554,2,2,35,623,1
554,2,2,36,793,1
554,2,2,37,580,1
554,2,2,38,696,1
554,2,2,39,535,1
554,2,2,40,572,1
556,2,1,1,1147,1
556,2,1,2,583,1
556,2,1,3,545,1
556,2,1,4,494,1
556,2,1,5,493,1
556,2,1,6,388,1
556,2,1,7,399,1
556,2,1,8,402,1
556,2,1,9,452,1
556,2,1,10,396,1
556,2,1,11,423,1
556,2,1,12,409,1
556,2,1,13,571,1
556,2,1,14,439,1
